User ID,Vehicle Model,Battery Capacity (kWh),Charging Station ID,Charging Station Location,Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (Â°C),Vehicle Age (years),Charger Type,User Type
User_1,BMW i3,108.46300741284072,Station_391,Houston,2024-01-01 00:00:00,2024-01-01 00:39:00,60.71234573492677,0.5913634253585007,36.3891805669814,13.087716791774506,Evening,Tuesday,29.371575979140047,86.11996244457839,293.6021106383279,27.947953055800944,2.0,DC Fast Charger,Commuter
User_2,Hyundai Kona,100.0,Station_428,San Francisco,2024-01-01 01:00:00,2024-01-01 03:01:00,12.339275203733752,3.133652052688084,30.677734939714437,21.12844792913739,Morning,Monday,10.115777641679946,84.66434362786444,112.11280368218186,14.311025660377789,3.0,Level 1,Casual Driver
User_3,Chevy Bolt,75.0,Station_181,San Francisco,2024-01-01 02:00:00,2024-01-01 04:48:00,19.128875700115476,2.4526527258367823,27.513592558773237,35.66727042356739,Morning,Thursday,6.854604444398554,69.91761524016282,71.79925292594801,21.00200183614421,2.0,Level 2,Commuter
User_4,Hyundai Kona,50.0,Station_327,Houston,2024-01-01 03:00:00,2024-01-01 06:42:00,79.45782398845503,1.266430804620451,32.882869757386224,13.036238833914622,Evening,Saturday,83.12000296074223,99.62432763119423,199.5777845163286,38.316313160363435,1.0,Level 1,Long-Distance Traveler
User_5,Hyundai Kona,50.0,Station_108,Los Angeles,2024-01-01 04:00:00,2024-01-01 05:46:00,19.62910416772725,2.0197650865894614,10.215712071204608,10.161471171031415,Morning,Saturday,54.25894969116981,63.743786036169695,203.66184655799864,-7.834199027249213,1.0,Level 1,Long-Distance Traveler
User_6,Nissan Leaf,50.0,Station_335,San Francisco,2024-01-01 05:00:00,2024-01-01 07:10:00,43.18113714248533,1.1676401541014236,14.33452277611833,36.90034077796173,Evening,Saturday,75.21774833696946,71.98228757123687,143.68004610728445,-5.274217796522686,0.0,DC Fast Charger,Long-Distance Traveler
User_7,Chevy Bolt,85.0,Station_162,Houston,2024-01-01 06:00:00,2024-01-01 07:53:00,36.862139988267536,3.5396190263161467,26.185187860033516,22.21422517569784,Evening,Friday,60.75178075976676,70.79609690147149,81.33800890802773,27.5513346806664,4.0,Level 2,Commuter
User_8,Chevy Bolt,75.0,Station_302,Los Angeles,2024-01-01 07:00:00,2024-01-01 10:42:00,51.46761685839947,2.6553964456130235,26.7029077655282,9.796821321322032,Afternoon,Monday,56.201703032995454,63.786815331776616,116.54316578116932,-4.41745966595273,0.0,Level 2,Long-Distance Traveler
User_9,Chevy Bolt,62.0,Station_493,Los Angeles,2024-01-01 08:00:00,2024-01-01 09:21:00,43.59237228216989,1.724203599132774,14.294922926661108,32.465005072088225,Evening,Wednesday,33.46620026326066,92.96142090358896,208.25974249443672,22.51670642679634,4.0,Level 1,Commuter
User_10,Hyundai Kona,50.0,Station_452,Chicago,2024-01-01 09:00:00,2024-01-01 12:44:00,78.86860745126785,2.0268746909843576,11.76099971515701,21.312302451155745,Morning,Wednesday,27.399454625609152,70.05338137780706,54.00630919992556,27.51201936462591,2.830381306943589,DC Fast Charger,Commuter
User_11,BMW i3,50.0,Station_206,Los Angeles,2024-01-01 10:00:00,2024-01-01 13:59:00,18.206197477378716,2.6486354477276968,10.310701112892176,38.221230704051806,Night,Thursday,76.08656557040186,82.2655816267944,64.63464374887128,0.5004335643954789,3.0,DC Fast Charger,Casual Driver
User_12,Chevy Bolt,85.0,Station_78,San Francisco,2024-01-01 11:00:00,2024-01-01 14:55:00,22.564929484106763,2.0578886215204486,4.46482262892762,14.0508613520737,Evening,Sunday,14.618902372078484,85.85749415419053,194.76380668173775,34.26261127319235,0.0,DC Fast Charger,Long-Distance Traveler
User_13,Hyundai Kona,100.0,Station_16,San Francisco,2024-01-01 12:00:00,2024-01-01 13:00:00,34.256452908516025,3.065584752022803,5.523688619042968,10.972135997218215,Afternoon,Monday,19.20544694977322,51.62648272929986,249.12759651542487,23.662965362338845,0.0,Level 2,Casual Driver
User_14,Nissan Leaf,75.0,Station_327,Houston,2024-01-01 13:00:00,2024-01-01 15:54:00,16.56106432522506,3.5909657181461028,19.769098717557156,37.44185660286842,Morning,Friday,25.775415389763285,69.2012290988145,159.2316102189639,34.11034863859677,7.0,Level 2,Commuter
User_15,BMW i3,85.0,Station_96,Houston,2024-01-01 14:00:00,2024-01-01 17:32:00,12.927545290947553,3.4218093378407497,24.211150117119175,18.552815677456245,Afternoon,Monday,71.68354383511853,63.70663794066834,155.36060543681995,39.50544568765913,4.0,Level 1,Casual Driver
User_16,Nissan Leaf,100.0,Station_147,Los Angeles,2024-01-01 15:00:00,2024-01-01 17:19:00,27.354317884610715,2.703286127534274,11.112498841670842,33.093492711055774,Evening,Monday,10.677153729384765,72.40347015226732,247.6594369214761,-8.30213689912669,1.5352340877952697,DC Fast Charger,Long-Distance Traveler
User_17,BMW i3,97.681812229825,Station_2,New York,2024-01-01 16:00:00,2024-01-01 18:02:00,24.726937680708804,3.4586802787724484,49.40273861566977,17.49480846107398,Evening,Thursday,67.59197091077596,89.94222936485875,237.3064209427689,4.41532961880046,7.0,DC Fast Charger,Commuter
User_18,Hyundai Kona,50.0,Station_10,Chicago,2024-01-01 17:00:00,2024-01-01 20:13:00,23.824040473705303,0.8482182678183041,6.614280124746195,6.430589211997161,Evening,Friday,57.59519511951953,74.96195034708379,22.00682916343814,18.405709050259357,6.0,Level 2,Casual Driver
User_19,Tesla Model 3,100.0,Station_434,New York,2024-01-01 18:00:00,2024-01-01 21:03:00,42.63801819167288,0.8075321582617996,20.49084604597367,25.0787937101842,Evening,Saturday,55.51705087402344,52.7134886858277,280.8620709755801,37.430356532255,0.0,Level 1,Long-Distance Traveler
User_20,BMW i3,50.0,Station_125,Los Angeles,2024-01-01 19:00:00,2024-01-01 20:22:00,48.48248430757049,2.5809253540076567,45.29143534649799,7.090844200594135,Morning,Wednesday,12.754877571721774,116.0956568894014,243.25576946966927,9.202409891916812,3.0,Level 2,Long-Distance Traveler
